PG,PGC,LOT,PD,WF
160619,5,360406,27599,5386593
160619,5,360406,27599,5388316
160619,5,360406,27599,5386426
163089,5,360406,27599,5386593
164855,4,9627,163,209062
164855,4,16889,163,209060
164855,4,9627,163,208956
164855,4,16889,163,209054
164855,4,16888,163,209057
164855,4,9627,163,208956
169399,4,152477,27706,1375840
171868,5,244581,28102,3513211
171868,5,244581,28102,3513212
171868,5,244581,28102,3513210
171868,5,244578,28102,3513149
171868,5,244578,28102,3513148
171868,5,244578,28102,3513147
171868,5,244578,28102,3513146
171868,5,244578,28102,3513145
171868,5,244578,28102,3513144
171868,5,244578,28102,3513143
171868,5,244578,28102,3513142
171868,5,244578,28102,3513141
171868,5,244578,28102,3513140
171868,5,244581,28102,3513213
171868,5,244581,28102,3513214
171868,5,244581,28102,3513215
171868,5,244581,28102,3513216
171868,5,244581,28102,3513217
171868,5,244581,28102,3513218
171868,5,244581,28102,3513219
171868,5,244581,28102,3513220
171868,5,244581,28102,3513221
171868,5,244581,28102,3513222
171868,5,244581,28102,3513223
171868,5,244581,28102,3513224
171868,5,244581,28102,3513225
171868,5,244581,28102,3513226
171868,5,244581,28102,3513227
171868,5,244581,28102,3513228
171868,5,244581,28102,3513229
171868,5,244581,28102,3513230
171868,5,244581,28102,3513231
171868,5,244581,28102,3513232
171868,5,244581,28102,3513233
171868,5,244581,28102,3513234
171868,5,244578,28102,3513125
171868,5,244578,28102,3513126
171868,5,244578,28102,3513127
171868,5,244578,28102,3513128
171868,5,244578,28102,3513129
171868,5,244578,28102,3513130
171868,5,244578,28102,3513131
171868,5,244578,28102,3513132
171868,5,244578,28102,3513133
171868,5,244578,28102,3513134
171868,5,244578,28102,3513135
171868,5,244578,28102,3513136
171868,5,244578,28102,3513137
171868,5,244578,28102,3513138
171868,5,244578,28102,3513139
172046,2,356324,507,5335810
173765,5,361905,22462,5390574
174256,5,360670,29134,5388786
175667,5,227568,77,3125470
175667,5,227568,77,3125486
176199,4,9134,10102,3095526
176843,4,353525,29283,5386304
177453,4,25211,981,1172060
177453,4,25211,981,1162709
178086,4,360684,15023,5387493
179371,5,361024,29637,5389852
179371,5,361024,29637,5388111
180434,5,360924,72,5389192
180655,1,127885,18851,1112928
181321,2,19498,1214,228030
181784,12,301934,34,4657035
181886,1,60389,15371,428914
181886,1,60389,15371,428922
182893,5,276335,638,4195607
184263,5,257971,29143,3818894
184263,5,257971,29143,3818905
184263,5,257971,29143,3818896
184263,5,257971,29143,3818903
186633,5,275275,31497,4195621
186825,5,361825,1388,5390399
186825,5,361825,1388,5390400
186825,5,361825,1388,5390401
186825,5,361825,1388,5390402
186825,5,361825,1388,5390403
186825,5,361825,1388,5390404
186825,5,361825,1388,5390405
186825,5,361825,1388,5390406
186825,5,361825,1388,5390407
186825,5,361825,1388,5390408
186825,5,361825,1388,5390409
186825,5,361825,1388,5390410
186825,5,361825,1388,5390398
186825,5,361825,1388,5390397
186825,5,361825,1388,5390396
186825,5,361825,1388,5390395
186825,5,361825,1388,5390394
186825,5,361825,1388,5390393
186825,5,361825,1388,5390392
186825,5,361825,1388,5390391
186825,5,361825,1388,5390390
186825,5,361825,1388,5390389
186825,5,361825,1388,5390388
186825,5,361825,1388,5390386
186825,5,361825,1388,5390387
187689,5,277737,31893,4160526
187689,5,277737,31893,4160539
187689,5,278336,31893,4170383
188465,5,285441,6268,4290705
189668,5,360506,33013,5387187
193795,12,361965,11154,5390602
193931,2,361244,35853,5388123
194058,4,65599,175,590209
194058,4,63140,175,619336
194058,4,63140,175,482448
194058,4,63140,175,562992
194088,12,34,38473,55
196287,4,2231,1222,307255
196287,4,2231,1222,307255
197288,12,3359,36953,5388784
198253,3,349824,11781,5300274
199226,4,97059,12435,765980
199228,4,97059,12435,765980
199308,1,97059,12435,765980
199308,1,97059,12435,765980
200390,2,358596,1304,5347640
200707,2,45,3950,1786
201825,5,359865,7,5385326
202345,4,339444,20525,5356212
202348,3,339444,20525,5363032
202725,4,9134,10102,3092358
202785,1,9134,10102,3082284
202926,1,133746,1844,1173753
202985,2,234,16694,5386411
203185,12,361430,38413,5388757
203226,12,21205,38433,5388761
203231,2,92329,38434,5388778
203233,4,361504,3289,5388863
203233,4,361504,3289,5388863
203234,4,361626,37493,5389205
203234,4,361626,37493,5389205
203235,4,361626,37493,5389205
203236,2,361504,3289,5388850
203236,2,361504,3289,5388850
203236,2,361504,3289,5388863
203236,2,361504,3289,5388863
203238,12,361448,3819,5388692
203243,2,92329,38434,5388976
203260,2,361671,398,5389745
203260,2,361671,398,5389745
203261,12,361671,398,5389745
203266,12,3558,4792,49214
203267,5,132809,26202,5390581
203267,5,132809,26202,5390816
203273,1,361709,25013,5390078
203285,4,353765,11781,5326466
203296,2,2231,,5390376

203349,2,362148,22133,5391076
203349,2,362148,22133,5391076
